,file,num_iter,run_time_iter,opt_thres,opt_dist,opt_I,run_time_iter_cumsum,max_opt_I
0,time1672258071,4,"[37.5809, 38.9204, 37.5564, 38.1508]","[array([-8.  , -1.68,  1.44,  8.  ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.3647917 , 0.25962871, 0.37557959]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.121915671079974, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 37.5809  76.5013 114.0577 152.2085],1.1318035933560924
1,time1672257695,4,"[37.8779, 37.632, 36.6232, 37.5182]","[array([-8.  , -1.6 ,  1.44,  8.  ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.36869867, 0.25596611, 0.37533523]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1267016170366508, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 37.8779  75.5099 112.1331 149.6513],1.1318035933560924
2,time1672268102,4,"[41.3204, 40.3895, 39.8657, 41.251]","[array([-8.  , -0.88,  0.88,  8.  ]), array([-8.  , -1.28,  1.28,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.42235778, 0.15528629, 0.42235593]), array([0.38736331, 0.22527341, 0.38736327]), array([0.38174668, 0.23650665, 0.38174667]), array([0.38174668, 0.23650665, 0.38174667])]","[1.0785931634470636, 1.1289331236181281, 1.1318035933560924, 1.1318035933560924]",[ 41.3204  81.7099 121.5756 162.8266],1.1318035933560924
3,time1672267588,2,"[39.581, 38.5065]","[array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1317334795696499, 1.1318035933560924]",[39.581  78.0875],1.1318035933560924
4,time1672267273,4,"[39.1829, 39.1323, 39.3725, 39.9433]","[array([-8.  , -1.44,  1.52,  8.  ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.37564853, 0.25173326, 0.37261821]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1299391457333425, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 39.1829  78.3152 117.6877 157.631 ],1.1318035933560924
5,time1672265023,4,"[37.2207, 38.4389, 37.0633, 37.0462]","[array([-8.  , -1.52,  1.84,  8.  ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.37339969, 0.2708831 , 0.3557172 ]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1056177904831772, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 37.2207  75.6596 112.7229 149.7691],1.1318035933560924
6,time1672261954,4,"[36.9909, 39.713, 37.7166, 39.0913]","[array([-8.  , -1.68,  1.84,  8.  ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.36466773, 0.28069549, 0.35463678]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.096185575770802, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 36.9909  76.7039 114.4205 153.5118],1.1318035933560924
7,time1672267156,3,"[39.6211, 38.8052, 38.8421]","[array([-8.  , -1.28,  1.76,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.38448178, 0.25026323, 0.36525499]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1151102521305525, 1.1317334795696499, 1.1318035933560924]",[ 39.6211  78.4263 117.2684],1.1318035933560924
8,time1672267822,4,"[39.2903, 39.1945, 38.9218, 39.9073]","[array([-8. , -1.6,  1.6,  8. ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.36718685, 0.26562629, 0.36718685]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1213896770623524, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 39.2903  78.4848 117.4066 157.3139],1.1318035933560924
9,time1672266343,4,"[36.6058, 37.1151, 37.358, 38.1285]","[array([-8.  , -1.52,  1.76,  8.  ]), array([-8.  , -1.44,  1.44,  8.  ]), array([-8.  , -1.36,  1.44,  8.  ]), array([-8.  , -1.36,  1.36,  8.  ])]","[array([0.37216785, 0.26818179, 0.35965036]), array([0.37652056, 0.24695888, 0.37652056]), array([0.38038243, 0.24166669, 0.37795088]), array([0.38174668, 0.23650665, 0.38174667])]","[1.1135071229650926, 1.1316124535581944, 1.1317334795696499, 1.1318035933560924]",[ 36.6058  73.7209 111.0789 149.2074],1.1318035933560924
