,file,num_iter,run_time_iter,opt_thres,opt_dist,opt_I,run_time_iter_cumsum,max_opt_I
0,time1672282931,8,"[77.1501, 74.5098, 73.6449, 73.882, 73.7523, 74.897, 76.1238, 73.9547]","[array([-8.  , -1.84, -0.08,  1.12,  8.  ]), array([-8.  , -2.  ,  0.08,  1.36,  8.  ]), array([-8.  , -1.92,  0.16,  1.52,  8.  ]), array([-8.  , -1.92,  0.08,  1.6 ,  8.  ]), array([-8.  , -1.84,  0.08,  1.68,  8.  ]), array([-8.  , -1.84,  0.  ,  1.68,  8.  ]), array([-8.  , -1.84,  0.  ,  1.76,  8.  ]), array([-8.  , -1.84,  0.  ,  1.76,  8.  ])]","[array([0.33795569, 0.21591555, 0.02482622, 0.42130255]), array([0.33231183, 0.21118115, 0.05120617, 0.40530085]), array([0.3380643 , 0.19333426, 0.07580012, 0.39280132]), array([0.343795  , 0.17804679, 0.0963095 , 0.38184871]), array([0.35059483, 0.1622485 , 0.11356564, 0.37359102]), array([0.35442294, 0.15463431, 0.12165863, 0.36928412]), array([0.35687453, 0.1473735 , 0.13166989, 0.36408208]), array([0.35687453, 0.1473735 , 0.13166989, 0.36408208])]","[1.1228626697138133, 1.1276248803002087, 1.1294953807144756, 1.13095066353943, 1.1319212819422826, 1.1321921920662539, 1.1323954580933622, 1.1323954580933622]",[ 77.1501 151.6599 225.3048 299.1868 372.9391 447.8361 523.9599 597.9146],1.1323954580933622
1,time1672280090,5,"[72.7882, 72.402, 74.0692, 75.2637, 73.5663]","[array([-8.  , -1.84, -0.16,  2.08,  8.  ]), array([-8.  , -1.68, -0.08,  1.84,  8.  ]), array([-8.  , -1.68,  0.  ,  1.84,  8.  ]), array([-8.  , -1.76,  0.  ,  1.84,  8.  ]), array([-8.  , -1.76,  0.  ,  1.84,  8.  ])]","[array([0.37708349, 0.1046857 , 0.17975339, 0.33847742]), array([0.37358424, 0.11357682, 0.16224834, 0.3505906 ]), array([0.36927581, 0.12166797, 0.15464186, 0.35441437]), array([0.36406892, 0.13167785, 0.14737667, 0.35687655]), array([0.36406892, 0.13167785, 0.14737667, 0.35687655])]","[1.1266793537967743, 1.1319212828870424, 1.1321921933664452, 1.132395458711865, 1.132395458711865]",[ 72.7882 145.1902 219.2594 294.5231 368.0894],1.132395458711865
2,time1672281476,3,"[74.0723, 72.0924, 70.8759]","[array([-8.  , -2.16, -0.96,  1.2 ,  8.  ]), array([-8.  , -2.4 , -1.28,  0.96,  8.  ]), array([-8.  , -2.4 , -1.28,  0.96,  8.  ])]","[array([3.31932590e-01, 2.48101300e-01, 1.41610639e-07, 4.19965968e-01]), array([3.29636513e-01, 2.47393272e-01, 1.01972942e-08, 4.22970204e-01]), array([3.29636513e-01, 2.47393272e-01, 1.01972942e-08, 4.22970204e-01])]","[1.1244513144859534, 1.1321746071349459, 1.1321746071349459]",[ 74.0723 146.1647 217.0406],1.1321746071349459
3,time1672259983,3,"[74.2519, 72.8645, 72.0414]","[array([-8.  , -2.24, -1.04,  1.2 ,  8.  ]), array([-8.  , -2.4 , -1.28,  0.96,  8.  ]), array([-8.  , -2.4 , -1.28,  0.96,  8.  ])]","[array([3.30557566e-01, 2.50852195e-01, 7.62993607e-09, 4.18590232e-01]), array([3.29636513e-01, 2.47393272e-01, 1.01972942e-08, 4.22970204e-01]), array([3.29636513e-01, 2.47393272e-01, 1.01972942e-08, 4.22970204e-01])]","[1.1251159437457732, 1.1321746071349459, 1.1321746071349459]",[ 74.2519 147.1164 219.1578],1.1321746071349459
4,time1672264146,4,"[68.6405, 68.0969, 67.642, 68.0742]","[array([-8.  , -0.32,  0.96,  2.16,  8.  ]), array([-8.  , -0.88,  1.2 ,  2.32,  8.  ]), array([-8.  , -0.96,  1.28,  2.4 ,  8.  ]), array([-8.  , -0.96,  1.28,  2.4 ,  8.  ])]","[array([4.46202099e-01, 1.38765400e-08, 1.85596049e-01, 3.68201838e-01]), array([4.26184024e-01, 2.03884467e-08, 2.40777823e-01, 3.33038133e-01]), array([4.22971959e-01, 6.38129026e-09, 2.47394182e-01, 3.29633853e-01]), array([4.22971959e-01, 6.38129026e-09, 2.47394182e-01, 3.29633853e-01])]","[1.0876264162876688, 1.1313611977225326, 1.1321746084203959, 1.1321746084203959]",[ 68.6405 136.7374 204.3794 272.4536],1.1321746084203959
5,time1672263319,3,"[69.9658, 68.413, 69.858]","[array([-8.  , -1.68,  0.16,  1.84,  8.  ]), array([-8.  , -1.76,  0.  ,  1.76,  8.  ]), array([-8.  , -1.76,  0.  ,  1.76,  8.  ])]","[array([0.36149256, 0.13681467, 0.13904192, 0.36265085]), array([0.36164165, 0.13835742, 0.13835698, 0.36164395]), array([0.36164165, 0.13835742, 0.13835698, 0.36164395])]","[1.1317522252963383, 1.1324863773074734, 1.1324863773074734]",[ 69.9658 138.3788 208.2368],1.1324863773074734
6,time1672281916,3,"[73.8779, 71.9482, 73.4622]","[array([-8.  , -2.  ,  0.08,  1.92,  8.  ]), array([-8.  , -1.84,  0.  ,  1.76,  8.  ]), array([-8.  , -1.84,  0.  ,  1.76,  8.  ])]","[array([0.34887121, 0.15861685, 0.12758985, 0.3649221 ]), array([0.35687453, 0.1473735 , 0.13166989, 0.36408208]), array([0.35687453, 0.1473735 , 0.13166989, 0.36408208])]","[1.128350216818855, 1.1323954580933622, 1.1323954580933622]",[ 73.8779 145.8261 219.2883],1.1323954580933622
7,time1672271437,5,"[72.3125, 73.261, 73.9533, 72.6331, 73.4189]","[array([-8.  , -2.16, -0.16,  1.6 ,  8.  ]), array([-8.  , -1.84,  0.08,  1.68,  8.  ]), array([-8.  , -1.84,  0.  ,  1.68,  8.  ]), array([-8.  , -1.84,  0.  ,  1.76,  8.  ]), array([-8.  , -1.84,  0.  ,  1.76,  8.  ])]","[array([0.34492381, 0.17359455, 0.10563104, 0.3758506 ]), array([0.35059483, 0.1622485 , 0.11356564, 0.37359102]), array([0.35442294, 0.15463431, 0.12165863, 0.36928412]), array([0.35687453, 0.1473735 , 0.13166989, 0.36408208]), array([0.35687453, 0.1473735 , 0.13166989, 0.36408208])]","[1.1271255863381127, 1.1319212819422826, 1.1321921920662539, 1.1323954580933622, 1.1323954580933622]",[ 72.3125 145.5735 219.5268 292.1599 365.5788],1.1323954580933622
8,time1672259534,3,"[73.0294, 75.0924, 72.999]","[array([-8.  , -2.48, -0.48,  0.64,  8.  ]), array([-8.  , -2.4 , -1.2 ,  0.96,  8.  ]), array([-8.  , -2.4 , -1.28,  0.96,  8.  ])]","[array([3.37016132e-01, 2.20660604e-01, 1.43654961e-08, 4.42323249e-01]), array([3.29965846e-01, 2.46461254e-01, 1.34638897e-08, 4.23572887e-01]), array([3.29636513e-01, 2.47393272e-01, 1.01972942e-08, 4.22970204e-01])]","[1.1028058672117882, 1.132141071688584, 1.1321746071349459]",[ 73.0294 148.1218 221.1208],1.1321746071349459
9,time1672276254,3,"[74.6263, 77.2131, 76.1747]","[array([-8.  , -2.  ,  0.  ,  2.08,  8.  ]), array([-8.  , -1.76,  0.  ,  1.84,  8.  ]), array([-8.  , -1.76,  0.  ,  1.84,  8.  ])]","[array([0.3585282 , 0.13895092, 0.14992411, 0.35259677]), array([0.36406892, 0.13167785, 0.14737667, 0.35687655]), array([0.36406892, 0.13167785, 0.14737667, 0.35687655])]","[1.1244368567331433, 1.132395458711865, 1.132395458711865]",[ 74.6263 151.8394 228.0141],1.132395458711865
